,user_in_role_id,interval_end,physicalactivity_calories,physicalactivity_intense_time,physicalactivity_moderate_time,physicalactivity_soft_time,cluster,max_probability
0,66,2017-01-02 01:00:00,0.761931446,0.0,0.273504274,0.58641302,1,1.0
1,66,2017-01-03 01:00:00,0.674669816,0.0,0.008547009,0.434617566,1,0.9999974704756074
2,66,2017-01-04 01:00:00,0.711731439,0.0,0.017094017,0.578559274,1,0.9999979216969447
3,66,2017-01-05 01:00:00,0.723981861,0.0,0.111111111,0.56551333,1,0.999997254144223
4,66,2017-01-06 01:00:00,0.711196938,0.0,0.0,0.612592172,1,0.9999975793220723
5,66,2017-01-07 01:00:00,0.711696955,0.0,0.008547009,0.615210088,1,0.9999932639622737
6,66,2017-01-08 01:00:00,0.950903479,1.0,0.19658119699999999,0.646668703,2,1.0
7,66,2017-01-09 01:00:00,0.70396393,0.0,0.017094017,0.5000218160000001,1,0.9999945273688946
8,66,2017-01-10 01:00:00,0.773543915,0.0,0.282051282,0.505257646,1,0.9998467633348779
9,66,2017-01-11 01:00:00,0.722524915,0.0,0.145299145,0.408394782,1,0.9999956238832766
10,66,2017-01-12 01:00:00,0.713171144,0.0,0.09401709400000001,0.45551725600000004,1,0.9999977087371791
11,66,2017-01-13 01:00:00,0.7206886440000001,0.0,0.09401709400000001,0.473842663,1,0.9999976266250057
12,66,2017-01-14 01:00:00,0.7711559020000001,0.0,0.256410256,0.638771325,1,0.9999089125938595
13,66,2017-01-15 01:00:00,0.7149125829999999,0.0,0.0,0.636197042,1,0.9999973151327257
14,66,2017-01-16 01:00:00,0.70178282,0.0,0.017094017,0.583795104,1,0.999997995853808
15,66,2017-01-17 01:00:00,0.752069037,0.0,0.05982906,0.787992495,1,0.9999894555727451
16,66,2017-01-18 01:00:00,0.739042726,0.0,0.170940171,0.455473625,1,0.9999931937522593
17,66,2017-01-19 01:00:00,0.7013172870000001,0.0,0.034188034,0.5078755620000001,1,0.9999981947008034
18,66,2017-01-20 01:00:00,0.724869823,0.0,0.11965812,0.43976613299999995,1,0.9999968235388651
19,66,2017-01-21 01:00:00,0.7311200390000001,0.0,0.111111111,0.476460579,1,0.9999969917830412
20,66,2017-01-22 01:00:00,0.676195731,0.0,0.0,0.410969065,1,0.9999963437477156
21,66,2017-01-23 01:00:00,0.75830201,0.0,0.111111111,0.800994808,1,0.9999827412777941
22,66,2017-01-24 01:00:00,0.731861443,0.0,0.111111111,0.5628517820000001,1,0.999996960421485
23,66,2017-01-25 01:00:00,0.7129728609999999,0.0,0.0,0.644094419,1,0.9999972758253806
24,66,2017-01-26 01:00:00,0.707326115,0.0,0.09401709400000001,0.37436188299999995,1,0.9999971197096882
25,66,2017-01-27 01:00:00,0.7289820340000001,0.0,0.068376068,0.578559274,1,0.9999975766620341
26,66,2017-01-28 01:00:00,0.791294527,0.0,0.324786325,0.570705528,1,0.9989326781586063
27,66,2017-01-29 01:00:00,0.7049467220000001,0.0,0.0,0.552380121,1,0.9999979110404175
28,66,2017-01-30 01:00:00,0.6840408290000001,0.0,0.0,0.46860683299999994,1,0.9999978388989962
29,66,2017-01-31 01:00:00,0.7740697959999999,0.0,0.05982906,0.6675683929999999,1,0.9999910065573345
30,66,2017-02-01 01:00:00,0.84215835,0.0,0.264957265,0.646625071,1,0.9970250084023408
31,66,2017-02-02 01:00:00,0.766483327,0.0,0.085470085,0.513111392,1,0.9999999225883615
32,66,2017-02-03 01:00:00,0.006414014,0.0,0.051282050999999995,0.175400323,0,1.0
33,66,2017-02-04 01:00:00,0.7646642990000001,0.0,0.085470085,0.494785985,1,0.9999999999959073
34,66,2017-02-05 01:00:00,0.7307148520000001,0.0,0.008547009,0.48693224,1,0.9999974648476685
35,66,2017-02-06 01:00:00,0.781820063,0.0,0.025641026,0.646625071,1,0.9999891776416369
36,66,2017-02-07 01:00:00,0.796311942,0.0,0.170940171,0.554998037,1,0.9999643461456933
37,66,2017-02-08 01:00:00,0.783906342,0.0,0.11965812,0.526200969,1,0.999987961025618
38,66,2017-02-09 01:00:00,0.8029845859999999,0.0,0.205128205,0.5105371089999999,1,0.9999184701471129
39,66,2017-02-10 01:00:00,0.7613452190000001,0.0,0.076923077,0.46860683299999994,1,0.9999952509118877
40,66,2017-02-11 01:00:00,0.768405807,0.0,0.09401709400000001,0.481696409,1,0.9999938433698736
41,66,2017-02-12 01:00:00,0.749724128,0.0,0.0,0.636197042,1,0.9999954269023849
42,66,2017-02-13 01:00:00,0.853322528,0.0,0.145299145,0.840307169,1,0.9974409790262958
43,66,2017-02-14 01:00:00,0.79157902,0.0,0.11965812,0.617828003,1,0.9999812332426896
44,66,2017-02-15 01:00:00,0.7794751540000001,0.0,0.11965812,0.5078755620000001,1,0.9999896970422083
45,66,2017-02-16 01:00:00,0.7651901790000001,0.0,0.008547009,0.628299664,1,0.9999937020566501
46,66,2017-02-17 01:00:00,0.797794752,0.0,0.222222222,0.476460579,1,0.9999067613460465
47,66,2017-02-18 01:00:00,0.789949653,0.0,0.11965812,0.526200969,1,0.999984888128027
48,66,2017-02-19 01:00:00,0.7616038479999999,0.0,0.068376068,0.568087613,1,0.9999953603954364
49,66,2017-02-20 01:00:00,0.76982827,0.0,0.017094017,0.662288931,1,0.9999920283489115
50,66,2017-02-21 01:00:00,0.7749491359999999,0.0,0.085470085,0.5498058379999999,1,0.9999928181331198
51,66,2017-02-22 01:00:00,0.7735697779999999,0.0,0.145299145,0.442471312,1,0.999988054448703
52,66,2017-02-23 01:00:00,0.774604297,0.0,0.11965812,0.526200969,1,0.9999912647860572
53,66,2017-02-24 01:00:00,0.768492017,0.0,0.0,0.777520834,1,0.9999831148138514
54,66,2017-02-25 01:00:00,0.782389048,0.0,0.025641026,0.80103844,1,0.999970669624143
55,66,2017-02-26 01:00:00,0.722792165,0.0,0.008547009,0.38483354399999997,1,0.9999960934429872
56,66,2017-02-27 01:00:00,0.75786234,0.0,0.076923077,0.42672018799999994,1,0.9999999274703013
